m VC d nu ps
5 60 1 75 50

id 	x 	y 	HC 	D 	IC 	R
0	92	92	0	0	0	0
1	73.0	78.0	10.0	5.8	0.8	73.0397857714346
2	97.0	180.0	10.0	2.0	0.8	74.41533039645378
3	49.0	158.0	10.0	7.6	0.8	95.1368000635579
4	110.0	99.0	10.0	6.8	0.8	73.00120440589144
5	92.0	89.0	10.0	3.6	0.8	59.6
6	26.0	90.0	10.0	7.6	0.8	91.56268519263884
7	41.0	49.0	10.0	0.2	0.8	56.774461233426614
8	81.0	129.0	10.0	4.4	0.8	74.77691052572939
9	89.0	111.0	10.0	0.8	0.8	57.87671144455604
10	109.0	95.0	10.0	7.4	0.8	72.9604046027068
11	21.0	73.0	10.0	9.0	0.8	97.54735555044044
12	112.0	83.0	10.0	5.4	0.8	71.57266758592456
13	76.0	141.0	10.0	6.8	0.8	85.07767161864652
14	16.0	120.0	10.0	7.8	0.8	96.32932030567252
15	10.0	127.0	10.0	8.2	0.8	99.73629165801667
16	171.0	84.0	10.0	5.8	0.8	89.57952499749334
17	96.0	107.0	10.0	9.4	0.8	74.84687454692039
18	79.0	75.0	10.0	6.0	0.8	72.51439414028279
19	45.0	138.0	10.0	6.2	0.8	87.4696181799388
20	95.0	8.0	10.0	1.4	0.8	69.97398116270264
21	158.0	65.0	10.0	7.4	0.8	92.50884052898174
22	51.0	107.0	10.0	2.6	0.8	70.12045134706476
23	78.0	157.0	10.0	5.4	0.8	85.14765401092939
24	64.0	165.0	10.0	8.2	0.8	96.72036118925452
25	88.0	104.0	10.0	8.8	0.8	72.2934733846478
26	25.0	48.0	10.0	3.0	0.8	78.59193134378998
27	160.0	91.0	10.0	4.4	0.8	82.06155834840222
28	121.0	78.0	10.0	9.2	0.8	83.09442762651139
29	126.0	113.0	10.0	4.6	0.8	75.72640163265746
30	95.0	106.0	10.0	2.0	0.8	61.11908515949042
31	161.0	79.0	10.0	7.4	0.8	92.20268406806373
32	120.0	11.0	10.0	6.6	0.8	93.76810301227138
33	98.0	151.0	10.0	1.2	0.8	65.71395914557499
34	109.0	102.0	10.0	3.4	0.8	66.40082748346558
35	99.0	113.0	10.0	2.4	0.8	64.43620611457179
36	88.0	98.0	10.0	5.0	0.8	63.977755213194996
37	97.0	78.0	10.0	1.4	0.8	59.43398049427706
38	89.0	174.0	10.0	9.0	0.8	100.11645790775
39	92.0	92.0	10.0	2.8	0.8	56.693280212272605
40	7.0	92.0	10.0	5.8	0.8	90.87052727765571
41	115.0	115.0	10.0	9.0	0.8	82.87514355338999
42	65.0	124.0	10.0	2.0	0.8	67.31937048786705
43	98.0	87.0	10.0	5.6	0.8	65.1512268193437
44	112.0	72.0	10.0	8.4	0.8	79.91122215934348
45	25.0	106.0	10.0	6.6	0.8	89.38530060326568
46	98.0	66.0	10.0	0.4	0.8	56.368254077594585
47	113.0	81.0	10.0	6.0	0.8	73.47691530333574
48	40.0	51.0	10.0	3.8	0.8	79.4283381019588
49	106.0	88.0	10.0	1.6	0.8	60.00741351502975
50	39.0	130.0	10.0	6.6	0.8	88.508978319514
51	138.0	15.0	10.0	1.6	0.8	72.01892119922319
52	103.0	105.0	10.0	5.8	0.8	70.22042063958116
