m VC d nu ps
5 60 1 75 50

id 	x 	y 	HC 	D 	IC 	R
0	89	89	0	0	0	0
1	99.0	134.0	10.0	5.8	0.8	80.79567705966537
2	107.0	95.0	10.0	9.4	0.8	76.85382416112833
3	156.0	42.0	10.0	9.0	0.8	100.052392958
4	95.0	86.0	10.0	3.8	0.8	61.931963783384525
5	54.0	154.0	10.0	7.4	0.8	93.20364626099052
6	42.0	77.0	10.0	8.0	0.8	87.01078116311515
7	12.0	123.0	10.0	6.2	0.8	92.06163632187412
8	73.0	64.0	10.0	9.2	0.8	81.95352255891672
9	73.0	94.0	10.0	9.8	0.8	76.12449793909158
10	81.0	106.0	10.0	2.6	0.8	64.06835484243982
11	106.0	51.0	10.0	2.8	0.8	70.44012418318441
12	60.0	100.0	10.0	4.6	0.8	73.0251462000657
13	150.0	45.0	10.0	3.8	0.8	81.2312416385388
14	111.0	89.0	10.0	0.4	0.8	55.87877538240746
15	112.0	53.0	10.0	3.2	0.8	72.10549686600146
16	56.0	111.0	10.0	8.0	0.8	83.81306314192786
17	123.0	32.0	10.0	0.8	0.8	63.51693920572258
18	68.0	84.0	10.0	2.2	0.8	63.68110789695045
19	18.0	48.0	10.0	4.8	0.8	86.55314855083212
20	62.0	73.0	10.0	1.4	0.8	62.767282374131156
21	60.0	91.0	10.0	6.6	0.8	76.82414628173655
22	129.0	17.0	10.0	4.6	0.8	85.86102906112986
23	113.0	106.0	10.0	9.8	0.8	82.85004216170202
24	8.0	79.0	10.0	5.2	0.8	87.96409832287341
25	42.0	96.0	10.0	8.8	0.8	88.45671119800028
26	92.0	89.0	10.0	2.4	0.8	57.83836717690617
27	97.0	64.0	10.0	5.4	0.8	73.23745743564902
28	98.0	60.0	10.0	5.0	0.8	73.78720762090414
29	82.0	86.0	10.0	8.2	0.8	68.19444657787645
30	82.0	77.0	10.0	9.6	0.8	74.09099166277718
31	107.0	100.0	10.0	3.6	0.8	67.338242879277
32	36.0	117.0	10.0	6.8	0.8	87.59162205755959
33	107.0	96.0	10.0	3.0	0.8	65.27765675540591
34	66.0	160.0	10.0	1.2	0.8	67.48681049504455
35	75.0	97.0	10.0	4.2	0.8	66.84973258598487
36	145.0	57.0	10.0	9.4	0.8	95.72200459853877
37	100.0	43.0	10.0	5.4	0.8	80.06145415069604
38	152.0	81.0	10.0	7.6	0.8	90.81744253691551
39	62.0	76.0	10.0	0.6	0.8	58.193653909898806
40	59.0	12.0	10.0	4.8	0.8	86.68945422482051
41	49.0	134.0	10.0	2.6	0.8	73.29228057674044
42	79.0	94.0	10.0	5.6	0.8	67.027967895483
43	60.0	97.0	10.0	5.2	0.8	74.1616378993809
44	63.0	119.0	10.0	5.4	0.8	77.79202066657263
45	65.0	110.0	10.0	6.2	0.8	77.0537664431406
46	33.0	38.0	10.0	4.6	0.8	84.47516150615107
47	77.0	95.0	10.0	4.8	0.8	66.81891865403956
48	87.0	107.0	10.0	1.6	0.8	60.877828083215874
49	68.0	111.0	10.0	6.8	0.8	77.75976518747953
50	89.0	89.0	10.0	6.0	0.8	59.797958971132715
51	85.0	85.0	10.0	0.8	0.8	55.223174022909824
52	150.0	73.0	10.0	9.8	0.8	96.20032584927515
53	141.0	85.0	10.0	0.2	0.8	56.048001017724786
54	92.0	75.0	10.0	5.6	0.8	68.60578816914779
55	46.0	128.0	10.0	5.2	0.8	82.39105287170517
56	79.0	48.0	10.0	5.6	0.8	79.0836375083998
57	137.0	14.0	10.0	4.0	0.8	84.69546275304597
58	35.0	80.0	10.0	5.8	0.8	83.29961941240771
59	70.0	6.0	10.0	7.8	0.8	97.43487554837263
60	109.0	68.0	10.0	6.2	0.8	75.97229292728696
61	113.0	33.0	10.0	9.2	0.8	94.05527075946304
62	62.0	145.0	10.0	9.0	0.8	93.9826190202448
63	82.0	88.0	10.0	8.2	0.8	67.79732618313211
64	93.0	96.0	10.0	5.8	0.8	65.57034051332212
65	112.0	151.0	10.0	9.8	0.8	97.22917376817003
66	107.0	34.0	10.0	8.6	0.8	91.59564163974875
67	31.0	31.0	10.0	8.8	0.8	99.52715340706666
