m VC d nu ps
5 100 1 400 80

id 	x 	y 	HC 	D 	IC 	R
0	50	50	0	0	0	0
1	73.0	42.0	10.0	16.0	1.0	123.34168714390339
2	65.0	43.0	10.0	24.0	1.0	125.48717127630603
3	68.0	37.0	10.0	26.0	1.0	133.1899872261688
4	59.0	32.0	10.0	28.0	1.0	133.046738986671
5	73.0	42.0	10.0	12.0	1.0	117.53500210949774
6	19.0	32.0	10.0	9.0	1.0	118.34694615011735
7	15.0	42.0	10.0	30.0	1.0	150.0593857695027
8	25.0	35.0	10.0	18.0	1.0	129.58974369443746
9	9.0	42.0	10.0	10.0	1.0	123.25422389547639
10	24.0	25.0	10.0	23.0	1.0	141.4685507842832
11	59.0	48.0	10.0	12.0	1.0	106.12543077386476
12	49.0	54.0	10.0	27.0	1.0	111.38941548993864
13	66.0	56.0	10.0	24.0	1.0	126.04833024204027
14	64.0	57.0	10.0	11.0	1.0	110.1447995010748
15	51.0	57.0	10.0	8.0	1.0	99.65385889844536
16	80.0	37.0	10.0	12.0	1.0	122.5368915309993
17	69.0	20.0	10.0	29.0	1.0	148.55089473376697
18	89.0	20.0	10.0	5.0	1.0	112.92526640742638
19	69.0	30.0	10.0	7.0	1.0	110.20619797856062
20	82.0	19.0	10.0	3.0	1.0	104.38524278329007
21	81.0	32.0	10.0	15.0	1.0	129.50569460577236
22	77.0	30.0	10.0	16.0	1.0	129.70350181627043
23	84.0	21.0	10.0	2.0	1.0	99.93746341338336
24	76.0	30.0	10.0	8.0	1.0	114.78042618255273
25	91.0	31.0	10.0	10.0	1.0	124.80557736710911
