m VC d nu ps
5 100 1 400 80

id 	x 	y 	HC 	D 	IC 	R
0	50	50	0	0	0	0
1	12.0	71.0	10.0	15.0	1.0	133.89800739173944
2	27.0	77.0	10.0	15.0	1.0	129.2757317632118
3	22.0	72.0	10.0	29.0	1.0	148.63412097200634
4	18.0	75.0	10.0	3.0	1.0	103.39432777405668
5	6.0	68.0	10.0	16.0	1.0	137.98728538153858
6	46.0	66.0	10.0	1.0	1.0	89.27198414148774
7	41.0	54.0	10.0	6.0	1.0	98.87783322312177
8	45.0	58.0	10.0	8.0	1.0	101.49156569075413
9	29.0	62.0	10.0	17.0	1.0	124.54997845476471
10	39.0	68.0	10.0	14.0	1.0	118.22723234135582
11	44.0	41.0	10.0	7.0	1.0	101.04438895287768
12	61.0	37.0	10.0	27.0	1.0	128.7767744616226
13	56.0	43.0	10.0	30.0	1.0	121.30793304923401
14	47.0	42.0	10.0	11.0	1.0	104.411803777681
15	50.0	42.0	10.0	7.0	1.0	99.07878402833892
16	54.0	60.0	10.0	15.0	1.0	110.76068555803008
17	48.0	57.0	10.0	10.0	1.0	102.16313143939728
18	53.0	77.0	10.0	28.0	1.0	140.02174110103772
19	34.0	60.0	10.0	10.0	1.0	110.8985192137099
20	55.0	78.0	10.0	23.0	1.0	135.4684516257665
21	40.0	72.0	10.0	12.0	1.0	117.41620520790423
22	31.0	88.0	10.0	21.0	1.0	143.15666624387325
23	43.0	72.0	10.0	27.0	1.0	135.0760711932142
24	26.0	80.0	10.0	3.0	1.0	102.82597084025124
25	26.0	85.0	10.0	18.0	1.0	138.44270444666296
