m VC d nu ps
5 100 1 400 80

id 	x 	y 	HC 	D 	IC 	R
0	50	50	0	0	0	0
1	71.0	23.0	10.0	20.0	1.0	136.00375895955557
2	90.0	25.0	10.0	6.0	1.0	115.3847104744408
3	88.0	18.0	10.0	20.0	1.0	146.13862372925522
4	79.0	20.0	10.0	15.0	1.0	132.94825327430547
5	77.0	38.0	10.0	5.0	1.0	106.28557528379396
6	80.0	19.0	10.0	2.0	1.0	99.6243337109824
7	77.0	27.0	10.0	24.0	1.0	142.32941829730163
8	91.0	22.0	10.0	24.0	1.0	152.43121955841968
9	90.0	8.0	10.0	26.0	1.0	160.94442537939224
10	82.0	11.0	10.0	6.0	1.0	116.47947137774888
11	42.0	33.0	10.0	5.0	1.0	101.81205822475266
12	39.0	44.0	10.0	19.0	1.0	116.50037356082811
13	43.0	40.0	10.0	23.0	1.0	119.78697167666823
14	37.0	37.0	10.0	3.0	1.0	96.7516361994881
15	51.0	43.0	10.0	15.0	1.0	106.9121546517554
16	37.0	31.0	10.0	5.0	1.0	103.67349946247913
17	33.0	26.0	10.0	28.0	1.0	142.08074435636223
18	40.0	26.0	10.0	16.0	1.0	124.54211490264018
19	50.0	27.0	10.0	9.0	1.0	111.74901573277509
20	47.0	30.0	10.0	12.0	1.0	114.79568828461365
21	70.0	91.0	10.0	12.0	1.0	129.2916117228885
22	68.0	93.0	10.0	20.0	1.0	144.2591304516331
23	79.0	78.0	10.0	30.0	1.0	153.7384204224636
24	74.0	87.0	10.0	20.0	1.0	142.67513326352008
25	81.0	87.0	10.0	12.0	1.0	130.56642689532254
