m VC d nu ps
5 100 1 400 80

id 	x 	y 	HC 	D 	IC 	R
0	50	50	0	0	0	0
1	48.0	37.0	10.0	16.0	1.0	114.08501972421317
2	45.0	36.0	10.0	20.0	1.0	119.86584374624474
3	34.0	24.0	10.0	24.0	1.0	138.4016506944795
4	49.0	18.0	10.0	11.0	1.0	120.35699853854348
5	34.0	25.0	10.0	25.0	1.0	138.8911233718631
6	72.0	93.0	10.0	16.0	1.0	138.4061030674021
7	67.0	76.0	10.0	18.0	1.0	130.9572402769224
8	70.0	80.0	10.0	28.0	1.0	147.81015723798316
9	64.0	80.0	10.0	14.0	1.0	126.19447887009875
10	77.0	81.0	10.0	4.0	1.0	107.16162279688015
11	49.0	48.0	10.0	21.0	1.0	104.654202656748
12	57.0	65.0	10.0	12.0	1.0	112.16428726646993
13	52.0	63.0	10.0	27.0	1.0	124.27773945449339
14	52.0	64.0	10.0	26.0	1.0	124.61818129865895
15	42.0	47.0	10.0	7.0	1.0	99.47388261646866
16	24.0	79.0	10.0	28.0	1.0	150.1587672776539
17	21.0	80.0	10.0	15.0	1.0	132.94825327430547
18	23.0	75.0	10.0	16.0	1.0	131.72031799438207
19	9.0	87.0	10.0	28.0	1.0	162.1303973505547
20	20.0	69.0	10.0	9.0	1.0	118.18874473977903
21	16.0	58.0	10.0	25.0	1.0	143.1890009099685
22	26.0	53.0	10.0	19.0	1.0	127.09771508512912
23	13.0	52.0	10.0	26.0	1.0	146.1333313723118
24	17.0	44.0	10.0	2.0	1.0	97.55927552947445
25	31.0	47.0	10.0	3.0	1.0	97.0535805178854
