m VC d nu ps
5 100 1 400 80

id 	x 	y 	HC 	D 	IC 	R
0	50	50	0	0	0	0
1	13.0	77.0	10.0	6.0	1.0	114.91839513837942
2	27.0	74.0	10.0	28.0	1.0	145.44503424156795
3	16.0	81.0	10.0	23.0	1.0	148.50547337081906
4	27.0	80.0	10.0	26.0	1.0	146.71896355070274
5	11.0	82.0	10.0	26.0	1.0	155.93807524555783
6	87.0	30.0	10.0	29.0	1.0	153.88436827150923
7	88.0	10.0	10.0	15.0	1.0	140.08616656768845
8	89.0	11.0	10.0	24.0	1.0	155.99220733943713
9	76.0	10.0	10.0	22.0	1.0	148.10473459958567
10	74.0	13.0	10.0	18.0	1.0	139.45885213019167
11	59.0	62.0	10.0	16.0	1.0	115.77708763999664
12	46.0	61.0	10.0	13.0	1.0	109.4727737710586
13	64.0	49.0	10.0	8.0	1.0	104.68079015915009
14	57.0	56.0	10.0	11.0	1.0	105.01319562470977
15	46.0	55.0	10.0	29.0	1.0	116.36980075832146
16	45.0	89.0	10.0	3.0	1.0	103.06145003593659
17	41.0	96.0	10.0	1.0	1.0	94.40446688496314
18	59.0	95.0	10.0	28.0	1.0	155.49709707796717
19	59.0	91.0	10.0	17.0	1.0	136.51885077529442
20	42.0	76.0	10.0	24.0	1.0	135.60110013300095
21	60.0	79.0	10.0	14.0	1.0	124.6972091262978
22	66.0	80.0	10.0	27.0	1.0	144.8999229583518
23	53.0	73.0	10.0	4.0	1.0	101.23952052189503
24	63.0	69.0	10.0	27.0	1.0	135.01224149877916
25	53.0	69.0	10.0	24.0	1.0	128.2348097108302
