m VC d nu ps
5 100 1 50 80

id 	x 	y 	HC 	D 	IC 	R
0	50	50	0	0	0	0
1	12.0	71.0	10.0	15.0	0.125	100.77497600699999
2	27.0	77.0	10.0	15.0	0.125	98.39048871
3	22.0	72.0	10.0	29.0	0.125	109.8032128225
4	18.0	75.0	10.0	3.0	0.125	88.27114390562151
5	6.0	68.0	10.0	16.0	0.125	103.0626263344
6	46.0	66.0	10.0	1.0	0.125	83.2781414322753
7	41.0	54.0	10.0	6.0	0.125	86.67432194308905
8	45.0	58.0	10.0	8.0	0.125	87.59841592175633
9	29.0	62.0	10.0	17.0	0.125	96.1735029016
10	39.0	68.0	10.0	14.0	0.125	93.5566064694
11	44.0	41.0	10.0	7.0	0.125	87.44031507313366
12	61.0	37.0	10.0	27.0	0.125	98.1458686371
13	56.0	43.0	10.0	30.0	0.125	94.78172667300001
14	47.0	42.0	10.0	11.0	0.125	88.63087600406239
15	50.0	42.0	10.0	7.0	0.125	86.74536878161602
16	54.0	60.0	10.0	15.0	0.125	90.87554467946319
17	48.0	57.0	10.0	10.0	0.125	87.83585026815852
18	53.0	77.0	10.0	28.0	0.125	104.2630470296
19	34.0	60.0	10.0	10.0	0.125	90.92427623689551
20	55.0	78.0	10.0	23.0	0.125	101.63374564029999
