m VC d nu ps
5 100 1 50 80

id 	x 	y 	HC 	D 	IC 	R
0	50	50	0	0	0	0
1	43.0	63.0	10.0	15.0	0.125	92.17522783975726
2	29.0	72.0	10.0	10.0	0.125	93.33276253
3	34.0	73.0	10.0	14.0	0.125	95.49499840600001
4	29.0	58.0	10.0	6.0	0.125	89.07835971693125
5	31.0	55.0	10.0	27.0	0.125	99.559316658
6	26.0	64.0	10.0	13.0	0.125	94.7740708735
7	44.0	71.0	10.0	27.0	0.125	100.7437780191
8	62.0	58.0	10.0	26.0	0.125	96.349546652
9	69.0	54.0	10.0	21.0	0.125	96.5049248907
10	57.0	51.0	10.0	15.0	0.125	89.51488352923987
11	58.0	52.0	10.0	11.0	0.125	88.53546494779283
12	58.0	66.0	10.0	21.0	0.125	95.8631884023
13	50.0	34.0	10.0	13.0	0.125	91.68332144554792
14	50.0	28.0	10.0	10.0	0.125	91.61895003862224
15	55.0	28.0	10.0	18.0	0.125	96.1719702042
16	50.0	18.0	10.0	12.0	0.125	95.13
17	31.0	60.0	10.0	22.0	0.125	97.897200642
18	30.0	63.0	10.0	6.0	0.125	89.30382516172784
19	18.0	67.0	10.0	1.0	0.125	84.54066855540019
20	26.0	53.0	10.0	10.0	0.125	92.08030902750423
