m VC d nu ps
5 100 1 50 80

id 	x 	y 	HC 	D 	IC 	R
0	50	50	0	0	0	0
1	93.0	29.0	10.0	11.0	0.125	97.8778677801
2	88.0	25.0	10.0	16.0	0.125	102.4056037312
3	81.0	32.0	10.0	15.0	0.125	98.5040689965
4	42.0	80.0	10.0	8.0	0.125	92.00805552785296
5	56.0	70.0	10.0	11.0	0.125	91.93077414011765
6	57.0	72.0	10.0	2.0	0.125	85.29969742155154
7	48.0	74.0	10.0	1.0	0.125	83.81334427733715
8	60.0	83.0	10.0	10.0	0.125	94.146375859
9	61.0	55.0	10.0	14.0	0.125	90.93532449404223
10	62.0	46.0	10.0	5.0	0.125	86.6424977681592
11	67.0	57.0	10.0	1.0	0.125	83.41941342265015
12	64.0	52.0	10.0	11.0	0.125	90.26068934867439
13	62.0	45.0	10.0	29.0	0.125	96.69
14	66.0	44.0	10.0	11.0	0.125	91.02197991265635
15	62.0	44.0	10.0	16.0	0.125	92.13800901630906
16	69.0	58.0	10.0	8.0	0.125	90.12235706246327
17	51.0	13.0	10.0	15.0	0.125	98.8540533135
18	41.0	12.0	10.0	17.0	0.125	101.2274244475
19	39.0	13.0	10.0	14.0	0.125	98.4581450764
20	47.0	7.0	10.0	17.0	0.125	102.6055382008
