m VC d nu ps
5 100 0.5 50 50

id 	x 	y 	HC 	D 	IC 	R
0	10 	10	0	0   	0	0
1	15 	14	25	22.3 	1.95	102.26
2	2 	1	25	25.4 	4.27	139.638
3	13 	10	25	29.9 	3.2	123.199
4	20 	14	25	15.8 	10.1	156.848
5	10 	2	25	13.1 	12.82	155.281
6	12 	3	25	26.0 	11.84	190.976
7	5 	13	25	13.5 	7.32	128.06
8	5 	15	25	27.1 	7.67	165.466
9	1 	5	25	19.7 	11.73	177.72
10	20 	14	25	19.5 	4.1	125.629
11	14 	1	25	20.9 	6.96	150.69
12	5 	2	25	20.5 	8.71	160.891
13	4 	11	25	29.4 	8.55	175.006
14	9 	25	25	18.8 	8.95	166.069
15	3 	27	25	15.0 	13.37	182.737

