m VC d nu ps
5 100 0.5 50 50

id 	x 	y 	HC 	D 	IC 	R
0	18 	9	0	0   	0	0
1	13 	0	25	22.3 	1.95	105.405
2	17 	1	25	25.4 	4.27	134.686
3	0 	4	25	29.9 	3.2	141.427
4	18 	18	25	15.8 	10.1	154.17
5	14 	1	25	13.1 	12.82	156.777
6	20 	0	25	26.0 	11.84	195.149
7	12 	2	25	13.5 	7.32	132.238
8	18 	8	25	27.1 	7.67	153.964
9	13 	16	25	19.7 	11.73	174.618
10	19 	16	25	19.5 	4.1	121.611
11	5 	16	25	20.9 	6.96	157.558
12	1 	12	25	20.5 	8.71	172.852
13	23 	9	25	29.4 	8.55	172.81
14	8 	27	25	18.8 	8.95	174.646
15	10 	29	25	15.0 	13.37	190.414
