m VC d nu ps
5 100 0.5 50 50

id 	x 	y 	HC 	D 	IC 	R
0	18 	18	0	0   	0	0
1	20 	16	25	17.1 	3.38	106.717
2	5 	0	25	18.0 	4.9	141.251
3	16 	1	25	28.1 	7.18	180.584
4	0 	12	25	10.6 	13.42	161.851
5	10 	6	25	23.7 	9.17	180.901
6	19 	12	25	11.1 	7.67	122.75
7	6 	8	25	12.2 	10.64	152.692
8	0 	17	25	16.8 	14.91	199.983
9	5 	14	25	13.6 	14.92	175.162
10	15 	6	25	15.6 	9.76	156.674
11	5 	18	25	12.3 	14.95	168.217
12	1 	21	25	22.4 	11.92	203.391
13	14 	1	25	17.4 	13.99	195.812
14	8 	5	25	16.6 	8.21	156.23
15	10 	7	25	12.7 	12.42	160.352

