m VC d nu ps
5 100 0.5 50 50

id 	x 	y 	HC 	D 	IC 	R
0	18 	18	0	0   	0	0
1	20 	16	25	25.9 	5.86	141.909
2	5 	7	25	20.5 	5.76	149.628
3	7 	1	25	17.8 	9.13	171.68
4	14 	13	25	24.6 	5.51	142.267
5	10 	20	25	26.0 	1.73	104.688
6	3 	10	25	12.7 	10.97	158.179
7	13 	13	25	18.9 	5.76	133.563
8	1 	1	25	14.6 	7.47	153.437
9	15 	3	25	16.1 	3.54	117.774
10	17 	19	25	21.4 	2.98	108.043
11	18 	6	25	15.9 	8.27	148.643
12	13 	7	25	13.4 	9.26	145.931
13	14 	1	25	26.4 	10.13	204.197
14	9 	5	25	23.4 	10.47	192.004
15	10 	7	25	26.8 	11.89	207.634

