m VC d nu ps
5 100 0.5 50 50

id 	x 	y 	HC 	D 	IC 	R
0	15 	8	0	0   	0	0
1	2 	11	25	13.5 	2.13	96.9577
2	1 	14	25	12.8 	11.23	157.546
3	16 	0	25	24.5 	1.63	101.388
4	6 	20	25	25.1 	10.69	197.162
5	17 	13	25	13.1 	12.34	149.115
6	0 	12	25	23.1 	5.38	150.362
7	1 	2	25	21.0 	14.93	211.544
8	10 	10	25	22.8 	11.97	178.784
9	6 	9	25	14.9 	1.85	93.3298
10	7 	10	25	21.2 	10.34	170.73
11	5 	8	25	11.6 	12.57	151.029
12	18 	2	25	29.4 	8.14	173.193
13	14 	1	25	25.6 	4.98	140.429
14	8 	5	25	12.7 	14.6	159.978
15	0 	1	25	29.4 	2.53	128.623
