m VC d nu ps
5 100 0.5 50 50

id 	x 	y 	HC 	D 	IC 	R
0	11 	10	0	0   	0	0
1	15 	14	25	24.3 	6.02	144.707
2	2 	15	25	17.3 	13.36	177.733
3	9 	17	25	16.8 	8.73	147.307
4	14 	7	25	10.0 	9.3	123.75
5	12 	15	25	22.6 	5.99	140.273
6	4 	8	25	28.2 	5.08	146.17
7	17 	14	25	16.9 	12.3	165.721
8	1 	10	25	24.6 	4.01	133.098
9	12 	19	25	10.0 	5.02	108.474
10	5 	19	25	20.2 	14.34	194.048
11	24 	10	25	27.6 	12.35	211.701
12	13 	19	25	13.7 	8.52	139.378
13	4 	11	25	20.3 	2.77	110.056
14	19 	5	25	10.7 	11.2	140.847
15	16 	28	25	23.5 	13.88	230.326

