m VC d nu ps
5 100 0.5 50 50

id 	x 	y 	HC 	D 	IC 	R
0	15 	18	0	0   	0	0
1	2 	11	25	10.3 	3.98	107.098
2	17 	14	25	16.3 	7.72	136.124
3	2 	20	25	23.8 	13.73	208.479
4	12 	8	25	25.2 	3.17	125.248
5	19 	3	25	16.4 	6.64	143.946
6	17 	12	25	20.9 	11.53	172.87
7	7 	3	25	29.0 	5.14	161.897
8	2 	8	25	23.0 	11.7	201.378
9	9 	0	25	10.1 	7.69	132.649
10	15 	1	25	19.8 	6.78	156.191
11	15 	16	25	17.2 	2.45	97.7028
12	1 	22	25	19.9 	4.06	129.953
13	12 	9	25	28.2 	3.78	135.746
14	8 	17	25	19.2 	13.99	181.26
15	10 	29	25	19.5 	12.85	186.324
