m VC d nu ps
5 100 0.5 50 50

id 	x 	y 	HC 	D 	IC 	R
0	10 	10	0	0   	0	0
1	8 	17	25	15.4 	9.92	149.311
2	20 	15	25	15.1 	13.26	170.368
3	6 	14	25	15.0 	13.59	161.798
4	8 	0	25	16.6 	3.48	113.77
5	12 	20	25	20.5 	4.4	129.685
6	8 	14	25	21.8 	2.04	101.199
7	8 	11	25	28.0 	7.9	159.769
8	1 	7	25	16.2 	1.51	91.076
9	18 	8	25	29.7 	9.19	184.717
10	17 	3	25	14.9 	3.87	113.441
11	14 	1	25	17.4 	9.59	157.843
12	23 	7	25	23.0 	4.63	140.366
13	24 	10	25	13.1 	14.76	172.808
14	19 	5	25	10.6 	14.66	154.736
15	26 	7	25	13.6 	7.85	143.882

