m VC d nu ps
5 100 0.5 50 50

id 	x 	y 	HC 	D 	IC 	R
0	15 	8	0	0   	0	0
1	2 	11	25	23.3 	14.16	209.882
2	1 	14	25	11.2 	12.39	155.668
3	16 	0	25	15.1 	8.78	143.63
4	6 	20	25	11.3 	2.76	99.9504
5	13 	20	25	20.6 	4.87	136.354
6	20 	3	25	12.3 	2.69	96.0681
7	3 	15	25	23.1 	13.08	203.94
8	0 	2	25	10.1 	8.41	133.616
9	12 	12	25	14.2 	13.67	157.921
10	1 	6	25	20.7 	3.66	127.013
11	14 	18	25	27.9 	12.82	208.345
12	13 	17	25	28.8 	1.38	102.154
13	16 	10	25	22.1 	1.74	95.7676
14	28 	17	25	13.6 	12.89	169.619
15	15 	29	25	18.9 	11.2	193.668


