m VC d nu ps
5 120 1 75 50

id 	x 	y 	HC 	D 	IC 	R
0	81	81	0	0	0	0
1	104.0	120.0	10.0	7.6	0.8	84.96762549444844
2	63.0	154.0	10.0	3.8	0.8	81.22606361471776
3	144.0	43.0	10.0	0.8	0.8	64.18263437599659
4	82.0	94.0	10.0	4.2	0.8	65.57036160720746
5	130.0	84.0	10.0	1.6	0.8	66.64180772142258
6	162.0	89.0	10.0	7.2	0.8	94.61524551831134
7	30.0	113.0	10.0	5.4	0.8	83.56774897997184
8	91.0	85.0	10.0	8.4	0.8	70.588988802678
9	92.0	84.0	10.0	9.0	0.8	71.73408664747612
10	61.0	127.0	10.0	3.4	0.8	74.49771465994328
11	88.0	126.0	10.0	4.8	0.8	77.86238827931302
12	83.0	84.0	10.0	8.0	0.8	64.84257769526573
13	48.0	37.0	10.0	2.4	0.8	71.46625258355077
14	100.0	100.0	10.0	5.8	0.8	74.32094304572912
15	91.0	149.0	10.0	8.0	0.8	93.44563090060956
16	30.0	75.0	10.0	4.6	0.8	78.80099721559654
17	56.0	128.0	10.0	0.2	0.8	56.104965931960635
18	82.0	146.0	10.0	4.6	0.8	82.10160781127325
19	104.0	17.0	10.0	4.6	0.8	82.78213277613278
20	102.0	85.0	10.0	1.6	0.8	61.62123481494114
21	117.0	45.0	10.0	8.8	0.8	89.67963131014199
22	51.0	125.0	10.0	1.0	0.8	63.653319926523366
23	68.0	71.0	10.0	3.8	0.8	66.13191956012675
24	79.0	36.0	10.0	5.8	0.8	80.47662189085924
25	138.0	53.0	10.0	5.0	0.8	83.10731767630836
26	35.0	38.0	10.0	5.6	0.8	84.89972732849355
27	8.0	93.0	10.0	9.0	0.8	97.69293591390658
28	79.0	80.0	10.0	8.6	0.8	64.11157647232938
29	127.0	24.0	10.0	5.6	0.8	87.4455764092476
30	47.0	53.0	10.0	4.2	0.8	75.67431778676894
31	50.0	92.0	10.0	8.8	0.8	82.66632085519274
