m VC d nu ps
5 120 1 75 50

id 	x 	y 	HC 	D 	IC 	R
0	97	97	0	0	0	0
1	90.0	161.0	10.0	2.4	0.8	73.08357120183963
2	101.0	39.0	10.0	2.0	0.8	70.10178378671903
3	90.0	147.0	10.0	0.6	0.8	60.32163914842987
4	106.0	116.0	10.0	7.0	0.8	74.14400611414767
5	124.0	67.0	10.0	7.6	0.8	83.21409957116406
6	115.0	99.0	10.0	8.4	0.8	74.92423529402657
7	46.0	82.0	10.0	9.4	0.8	91.82650922423242
8	49.0	88.0	10.0	4.6	0.8	78.15089194812839
9	47.0	120.0	10.0	5.2	0.8	81.60703862997607
10	128.0	84.0	10.0	6.0	0.8	77.22897490630156
11	147.0	16.0	10.0	3.4	0.8	83.01604794595501
12	94.0	161.0	10.0	0.2	0.8	56.64868222335825
13	160.0	82.0	10.0	7.2	0.8	90.09109291113926
14	10.0	125.0	10.0	5.6	0.8	91.56192834540765
15	170.0	36.0	10.0	4.0	0.8	85.8006011922705
16	108.0	151.0	10.0	3.4	0.8	75.57314478717078
17	82.0	47.0	10.0	8.2	0.8	88.74233103357618
18	99.0	137.0	10.0	9.0	0.8	86.01998196845746
19	89.0	98.0	10.0	7.4	0.8	67.58733246806918
20	57.0	91.0	10.0	9.6	0.8	87.3650518873024
21	128.0	109.0	10.0	6.6	0.8	78.41938300892544
22	112.0	26.0	10.0	3.2	0.8	78.18311964109013
23	165.0	29.0	10.0	3.4	0.8	83.17667496817606
24	70.0	29.0	10.0	7.6	0.8	93.59992336077667
25	110.0	69.0	10.0	0.6	0.8	58.298899945703646
26	122.0	94.0	10.0	8.2	0.8	78.14083008091978
27	117.0	189.0	10.0	7.2	0.8	97.7952798415241
28	109.0	117.0	10.0	3.2	0.8	67.0304371514063
29	101.0	92.0	10.0	0.2	0.8	52.70148098464527
30	147.0	94.0	10.0	4.4	0.8	77.85078206373387
31	54.0	156.0	10.0	2.6	0.8	75.47581173577792
32	159.0	74.0	10.0	4.6	0.8	82.35759433962914
33	74.0	56.0	10.0	4.2	0.8	76.4390423891638
34	67.0	150.0	10.0	0.8	0.8	62.9887641201771
35	101.0	177.0	10.0	2.0	0.8	73.33751487403919
36	55.0	111.0	10.0	9.0	0.8	87.67001927751033
37	110.0	2.0	10.0	7.8	0.8	100.18065654223348
38	57.0	109.0	10.0	4.0	0.8	74.46515263013906
39	33.0	138.0	10.0	3.6	0.8	80.54825340609835
40	116.0	71.0	10.0	3.2	0.8	69.51802858831803
41	188.0	79.0	10.0	4.0	0.8	85.37468278506537
42	76.0	130.0	10.0	0.6	0.8	59.20332612187572
43	97.0	188.0	10.0	9.2	0.8	103.16239272198345
44	132.0	42.0	10.0	5.2	0.8	84.17594592912388
45	97.0	120.0	10.0	9.6	0.8	79.32848444509875
46	161.0	163.0	10.0	4.6	0.8	87.77406066961825
47	66.0	60.0	10.0	5.2	0.8	79.77270601849956
48	115.0	73.0	10.0	0.8	0.8	59.46572765295939
49	61.0	137.0	10.0	5.2	0.8	81.28375323579957
50	141.0	180.0	10.0	4.4	0.8	87.32420010684757
51	101.0	96.0	10.0	8.6	0.8	65.84512122586634
52	117.0	64.0	10.0	2.2	0.8	67.51731834015698
53	68.0	14.0	10.0	2.4	0.8	76.71383189477692
54	62.0	131.0	10.0	9.8	0.8	91.07342956729082
55	98.0	94.0	10.0	1.4	0.8	56.047065726912514
