m VC d nu ps
5 120 1 75 50

id 	x 	y 	HC 	D 	IC 	R
0	93	93	0	0	0	0
1	135.0	39.0	10.0	1.8	0.8	70.56318620447716
2	165.0	92.0	10.0	5.8	0.8	87.80540811359137
3	34.0	86.0	10.0	4.2	0.8	79.42314588434078
4	98.0	56.0	10.0	3.8	0.8	72.68941432330064
5	102.0	91.0	10.0	3.6	0.8	62.79879494802538
6	83.0	135.0	10.0	4.8	0.8	77.20208922305785
7	42.0	133.0	10.0	1.6	0.8	68.9064386662322
8	118.0	98.0	10.0	1.2	0.8	60.82132961560639
9	111.0	177.0	10.0	0.8	0.8	65.25521981224787
10	124.0	77.0	10.0	2.0	0.8	65.97708901295853
11	104.0	97.0	10.0	3.8	0.8	64.25233843426405
12	66.0	56.0	10.0	6.2	0.8	81.7482278301766
13	90.0	91.0	10.0	4.6	0.8	61.25494179318578
14	88.0	80.0	10.0	0.8	0.8	56.96108281599925
15	1.0	82.0	10.0	8.6	0.8	101.84084461245592
16	77.0	92.0	10.0	4.6	0.8	67.59487287692639
17	96.0	8.0	10.0	4.8	0.8	87.19157059438065
18	99.0	94.0	10.0	9.4	0.8	68.25840893677213
19	51.0	56.0	10.0	5.4	0.8	82.45946752546628
20	95.0	90.0	10.0	5.8	0.8	62.63799951194808
21	27.0	84.0	10.0	9.8	0.8	97.38897550490832
22	131.0	152.0	10.0	6.8	0.8	90.44602292695785
23	87.0	92.0	10.0	8.2	0.8	67.05320171660442
24	139.0	83.0	10.0	7.4	0.8	85.11583701752815
25	74.0	89.0	10.0	8.0	0.8	75.00124174196154
26	16.0	68.0	10.0	1.2	0.8	68.16793961284549
27	96.0	103.0	10.0	1.8	0.8	59.430597301040905
28	65.0	91.0	10.0	4.2	0.8	71.08266535855464
29	96.0	88.0	10.0	2.0	0.8	58.32574874086409
30	71.0	74.0	10.0	2.8	0.8	67.47161120080229
31	35.0	51.0	10.0	9.2	0.8	97.49105203891781
32	93.0	92.0	10.0	7.4	0.8	61.919731538117794
33	152.0	73.0	10.0	9.0	0.8	94.02468589489311
34	93.0	92.0	10.0	0.4	0.8	52.77128129153285
35	27.0	48.0	10.0	3.0	0.8	78.54573790617437
36	121.0	50.0	10.0	2.0	0.8	68.98424887152504
37	17.0	116.0	10.0	9.0	0.8	99.30350968699895
38	84.0	98.0	10.0	3.4	0.8	62.90025022610027
39	110.0	110.0	10.0	0.6	0.8	57.46725723879926
40	104.0	84.0	10.0	7.2	0.8	71.03948492753565
41	43.0	28.0	10.0	8.0	0.8	97.194873574489
42	90.0	95.0	10.0	3.6	0.8	59.95670380638091
43	127.0	75.0	10.0	5.6	0.8	77.91050276626345
